,verb,count,presente yo,presente tú,"presente él, ella, Ud.",presente nosotros,presente vosotros,"presente ellos, ellas, Uds.",presente vos,imperfecto yo,imperfecto tú,"imperfecto él, ella, Ud.",imperfecto nosotros,imperfecto vosotros,"imperfecto ellos, ellas, Uds.",imperfecto vos,pretérito yo,pretérito tú,"pretérito él, ella, Ud.",pretérito nosotros,pretérito vosotros,"pretérito ellos, ellas, Uds.",pretérito vos,futuro yo,futuro tú,"futuro él, ella, Ud.",futuro nosotros,futuro vosotros,"futuro ellos, ellas, Uds.",futuro vos,condicional yo,condicional tú,"condicional él, ella, Ud.",condicional nosotros,condicional vosotros,"condicional ellos, ellas, Uds.",condicional vos,prob,en
0,ir,114347,voy,vas,va,vamos,vais,van,vas,iba,ibas,iba,íbamos,ibais,iban,ibas,fui,fuiste,fue,fuimos,fuisteis,fueron,fuiste,iré,irás,irá,iremos,iréis,irán,irás,iría,irías,iría,iríamos,iríais,irían,irías,0.0329002906580288,Go.
1,ser,65616,soy,eres,es,somos,sois,son,sos,era,eras,era,éramos,erais,eran,eras,fui,fuiste,fue,fuimos,fuisteis,fueron,fuiste,seré,serás,será,seremos,seréis,serán,serás,sería,serías,sería,seríamos,seríais,serían,serías,0.0188792488811881,be
2,tener,49977,tengo,tienes,tiene,tenemos,tenéis,tienen,tenés,tenía,tenías,tenía,teníamos,teníais,tenían,tenías,tuve,tuviste,tuvo,tuvimos,tuvisteis,tuvieron,tuviste,tendré,tendrás,tendrá,tendremos,tendréis,tendrán,tendrás,tendría,tendrías,tendría,tendríamos,tendríais,tendrían,tendrías,0.014379544948414,have
3,hacer,48701,hago,haces,hace,hacemos,hacéis,hacen,hacés,hacía,hacías,hacía,hacíamos,hacíais,hacían,hacías,hice,hiciste,hizo,hicimos,hicisteis,hicieron,hiciste,haré,harás,hará,haremos,haréis,harán,harás,haría,harías,haría,haríamos,haríais,harían,harías,0.0140124100792907,do
4,estar,38931,estoy,estás,está,estamos,estáis,están,estás,estaba,estabas,estaba,estábamos,estabais,estaban,estabas,estuve,estuviste,estuvo,estuvimos,estuvisteis,estuvieron,estuviste,estaré,estarás,estará,estaremos,estaréis,estarán,estarás,estaría,estarías,estaría,estaríamos,estaríais,estarían,estarías,0.011201353910533,be
5,decir,34487,digo,dices,dice,decimos,decís,dicen,decís,decía,decías,decía,decíamos,decíais,decían,decías,dije,dijiste,dijo,dijimos,dijisteis,dijeron,dijiste,diré,dirás,dirá,diremos,diréis,dirán,dirás,diría,dirías,diría,diríamos,diríais,dirían,dirías,0.009922711780138,say
6,ver,33899,veo,ves,ve,vemos,veis,ven,ves,veía,veías,veía,veíamos,veíais,veían,veías,vi,viste,vio,vimos,visteis,vieron,viste,veré,verás,verá,veremos,veréis,verán,verás,vería,verías,vería,veríamos,veríais,verían,verías,0.0097535305081595,view
7,haber,31047,he,has,"ha, impersonal: hay",hemos,habéis,han,has,había,habías,había,habíamos,habíais,habían,habías,hube,hubiste,hubo,hubimos,hubisteis,hubieron,hubiste,habré,habrás,habrá,habremos,habréis,habrán,habrás,habría,habrías,habría,habríamos,habríais,habrían,habrías,0.0089329437944136,have
8,dar,30581,doy,das,da,damos,dais,dan,das,daba,dabas,daba,dábamos,dabais,daban,dabas,di,diste,dio,dimos,disteis,dieron,diste,daré,darás,dará,daremos,daréis,darán,darás,daría,darías,daría,daríamos,daríais,darían,darías,0.0087988647591382,give
9,poder,30415,puedo,puedes,puede,podemos,podéis,pueden,podés,podía,podías,podía,podíamos,podíais,podían,podías,pude,pudiste,pudo,pudimos,pudisteis,pudieron,pudiste,podré,podrás,podrá,podremos,podréis,podrán,podrás,podría,podrías,podría,podríamos,podríais,podrían,podrías,0.008751102699362,power
